timestamp,node_id,vehicle_count,vehicle_speed,congestion_level
2023-01-01 00:00:00,39,55,13.262940589737465,0.6377114238867135
2023-01-01 00:05:00,29,75,98.56163351767245,0.9544960284547797
2023-01-01 00:10:00,15,91,50.941594259415744,0.6857437323304836
2023-01-01 00:15:00,43,69,42.33080265595507,0.9266494080645696
2023-01-01 00:20:00,8,19,36.345199405579464,0.7841322586084434
2023-01-01 00:25:00,21,4,25.69210368857845,0.7278776220711732
2023-01-01 00:30:00,39,22,81.24165180370251,0.4140619402133414
2023-01-01 00:35:00,19,8,95.98727482714868,0.32479450286336864
2023-01-01 00:40:00,23,57,47.22802793608584,0.8462773724729192
2023-01-01 00:45:00,11,58,95.71786252781106,0.9053932329290053
2023-01-01 00:50:00,11,92,84.14178538915307,0.451882493650932
2023-01-01 00:55:00,24,79,53.29460147286865,0.009063098186644414
2023-01-01 01:00:00,36,53,70.66235612135195,0.7925310589064705
2023-01-01 01:05:00,40,45,49.14857612534166,0.28506884047229164
2023-01-01 01:10:00,24,21,60.285106739129716,0.009887865016920738
2023-01-01 01:15:00,3,63,15.224170331665343,0.8049885589761221
2023-01-01 01:20:00,22,7,72.66371277704798,0.5174141888168982
2023-01-01 01:25:00,2,19,14.754218003572303,0.6852107463384691
2023-01-01 01:30:00,24,50,83.53764522276846,0.9146898211444775
2023-01-01 01:35:00,44,77,84.24522365145017,0.5411738301381054
2023-01-01 01:40:00,30,38,31.336955880059314,0.5031940725789658
2023-01-01 01:45:00,38,36,39.12965029322203,0.2906621213482635
2023-01-01 01:50:00,2,49,53.317934070246395,0.3051938344399526
2023-01-01 01:55:00,21,33,63.69966162392333,0.7965420660296458
2023-01-01 02:00:00,33,74,35.8618295567797,0.44902924558593704
2023-01-01 02:05:00,12,32,63.32377641687325,0.1635262086081204
2023-01-01 02:10:00,22,30,36.8008365906369,0.09452876400049559
2023-01-01 02:15:00,44,53,14.99416489639546,0.47292011686177937
2023-01-01 02:20:00,25,43,10.227479484871806,0.46495502361773045
2023-01-01 02:25:00,49,33,19.103595212658576,0.653458278205396
2023-01-01 02:30:00,27,70,81.30256301476165,0.4710674777451407
2023-01-01 02:35:00,42,61,96.52881811450034,0.14347570413421473
2023-01-01 02:40:00,28,22,48.42695793530973,0.5078028847985135
2023-01-01 02:45:00,16,45,56.14155581049485,0.9067894038860251
2023-01-01 02:50:00,15,55,23.21633521660835,0.15944141162021241
2023-01-01 02:55:00,47,6,59.59282174121413,0.689754640977749
2023-01-01 03:00:00,44,88,23.018941180627916,0.5938592649655265
