timestamp,node_id,historical_vehicle_count,historical_congestion_level
2023-01-01 00:00:00,49,77,0.6502753119408133
2023-01-01 00:05:00,1,77,0.43447762192969763
2023-01-01 00:10:00,36,46,0.6832251426434202
2023-01-01 00:15:00,50,92,0.9307521540612166
2023-01-01 00:20:00,33,68,0.28655449071114736
2023-01-01 00:25:00,24,3,0.8012133228921678
2023-01-01 00:30:00,26,95,0.9973778594868125
2023-01-01 00:35:00,10,26,0.7628847177340274
2023-01-01 00:40:00,39,96,0.3107150215794139
2023-01-01 00:45:00,18,79,0.12212453383535882
2023-01-01 00:50:00,10,70,0.5445257420420655
2023-01-01 00:55:00,6,76,0.11628514440759197
2023-01-01 01:00:00,35,86,0.46164889977260626
2023-01-01 01:05:00,5,70,0.33669681375232274
2023-01-01 01:10:00,9,37,0.47574478048735747
2023-01-01 01:15:00,3,79,0.31484362284318346
2023-01-01 01:20:00,47,86,0.8448939928186935
2023-01-01 01:25:00,48,99,0.43706555088389754
2023-01-01 01:30:00,8,83,0.10485810131018258
2023-01-01 01:35:00,10,22,0.6457621233062867
2023-01-01 01:40:00,43,47,0.7784026025529043
2023-01-01 01:45:00,25,77,0.4247252522024383
2023-01-01 01:50:00,50,35,0.6056300160603832
2023-01-01 01:55:00,36,45,0.44615544003462015
2023-01-01 02:00:00,3,3,0.20099933956246452
2023-01-01 02:05:00,40,62,0.5970032922768871
2023-01-01 02:10:00,27,33,0.7012779376437932
2023-01-01 02:15:00,23,81,0.2492000228658856
2023-01-01 02:20:00,44,84,0.7096820670220347
2023-01-01 02:25:00,31,28,0.8599675454958086
2023-01-01 02:30:00,34,86,0.9171049264696378
2023-01-01 02:35:00,4,53,0.1725266660758975
2023-01-01 02:40:00,12,80,0.1673476068790981
2023-01-01 02:45:00,49,61,0.8692347307556983
2023-01-01 02:50:00,47,18,0.6846488430609909
2023-01-01 02:55:00,37,83,0.12980441868633874
2023-01-01 03:00:00,48,28,0.4951236112658667
2023-01-01 03:05:00,19,60,0.7597756521646656
